Date;Heures;Type de réserve;Sens de l'ajustement;Quantité de la réserve (en MW);Prix des offres activées (en euros/MWh)
06/12/2016;00:00 - 00:30;Réserve primaire;A la hausse;22;60,6
06/12/2016;00:00 - 00:30;Réserve primaire;A la baisse;43;60,6
06/12/2016;00:00 - 00:30;Réserve secondaire;A la hausse;74;60,6
06/12/2016;00:00 - 00:30;Réserve secondaire;A la baisse;123;60,6
06/12/2016;00:00 - 00:30;Réserve rapide;A la hausse;34;71
06/12/2016;00:00 - 00:30;Réserve rapide;A la baisse;0;80
06/12/2016;00:00 - 00:30;Réserve complémentaire;A la hausse;0;66,1
06/12/2016;00:00 - 00:30;Réserve complémentaire;A la baisse;25;24
06/12/2016;00:30 - 01:00;Réserve primaire;A la hausse;0;60,6
06/12/2016;00:30 - 01:00;Réserve primaire;A la baisse;14;60,6
06/12/2016;00:30 - 01:00;Réserve secondaire;A la hausse;0;60,6
06/12/2016;00:30 - 01:00;Réserve secondaire;A la baisse;430;60,6
06/12/2016;00:30 - 01:00;Réserve rapide;A la hausse;0;0
06/12/2016;00:30 - 01:00;Réserve rapide;A la baisse;47;49,3
06/12/2016;00:30 - 01:00;Réserve complémentaire;A la hausse;0;66,1
06/12/2016;00:30 - 01:00;Réserve complémentaire;A la baisse;25;24
06/12/2016;01:00 - 01:30;Réserve primaire;A la hausse;17;50
06/12/2016;01:00 - 01:30;Réserve primaire;A la baisse;0;50
06/12/2016;01:00 - 01:30;Réserve secondaire;A la hausse;0;50
06/12/2016;01:00 - 01:30;Réserve secondaire;A la baisse;87;50
06/12/2016;01:00 - 01:30;Réserve rapide;A la hausse;0;0
06/12/2016;01:00 - 01:30;Réserve rapide;A la baisse;0;80
06/12/2016;01:00 - 01:30;Réserve complémentaire;A la hausse;113;65,6
06/12/2016;01:00 - 01:30;Réserve complémentaire;A la baisse;0;24
06/12/2016;01:30 - 02:00;Réserve primaire;A la hausse;0;50
06/12/2016;01:30 - 02:00;Réserve primaire;A la baisse;7;50
06/12/2016;01:30 - 02:00;Réserve secondaire;A la hausse;0;50
06/12/2016;01:30 - 02:00;Réserve secondaire;A la baisse;86;50
06/12/2016;01:30 - 02:00;Réserve rapide;A la hausse;0;0
06/12/2016;01:30 - 02:00;Réserve rapide;A la baisse;0;80
06/12/2016;01:30 - 02:00;Réserve complémentaire;A la hausse;113;65,6
06/12/2016;01:30 - 02:00;Réserve complémentaire;A la baisse;0;24
06/12/2016;02:00 - 02:30;Réserve primaire;A la hausse;32;50,5
06/12/2016;02:00 - 02:30;Réserve primaire;A la baisse;0;50,5
06/12/2016;02:00 - 02:30;Réserve secondaire;A la hausse;247;50,5
06/12/2016;02:00 - 02:30;Réserve secondaire;A la baisse;0;50,5
06/12/2016;02:00 - 02:30;Réserve rapide;A la hausse;47;71
