Jour;Pic de consommation journalier (MW);Temp moyenne (°C);Temp Ref (°C)
31/08/2017;54248;16,68;18,88375
30/08/2017;55973;20,57;18,9975
29/08/2017;56230;24,42;19,11125
28/08/2017;55308;24,5;19,225
27/08/2017;45678;23,57;19,3275
26/08/2017;47861;22,71;19,435
25/08/2017;53198;21,55;19,54
24/08/2017;53189;20,98;19,64
23/08/2017;52495;21,7;19,75
22/08/2017;52488;22,46;19,845
21/08/2017;50868;20,3;19,93875
20/08/2017;43998;17,84;20,0275
19/08/2017;45148;17,97;20,1125
18/08/2017;50516;20,29;20,20375
17/08/2017;49833;21,45;20,28625
16/08/2017;48825;20,61;20,37
15/08/2017;43620;21,36;20,44
14/08/2017;46318;21,17;20,5225
13/08/2017;42818;19,06;20,58875
12/08/2017;43894;17,77;20,65625
11/08/2017;48057;16,44;20,7275
10/08/2017;48198;16,08;20,78
09/08/2017;48270;16,52;20,8425
08/08/2017;48652;18,03;20,89375
07/08/2017;48845;20,3;20,94
06/08/2017;44074;19,46;20,9875
05/08/2017;46622;21,18;21,02625
04/08/2017;52517;22,58;21,06875
03/08/2017;52806;23,24;21,10375
02/08/2017;52762;22,96;21,1325
01/08/2017;52209;21,59;21,1575
31/07/2017;51358;20,9;21,2
30/07/2017;45182;21,8;21,2
29/07/2017;47252;22,3;21,2
28/07/2017;52933;20,4;21,2
27/07/2017;53786;20;21,2
26/07/2017;53850;18,8;21,2
25/07/2017;53549;18,4;21,3
24/07/2017;53274;18,1;21,2
23/07/2017;45981;18,8;21,2
22/07/2017;48048;19,3;21,2
21/07/2017;54333;19,7;21,2
20/07/2017;55439;20,5;21,2
19/07/2017;56877;23,8;21,2
18/07/2017;56958;25,7;21,2
17/07/2017;55870;23,8;21,1
16/07/2017;47349;22,4;21
15/07/2017;46853;20,3;21,1
14/07/2017;47220;20,1;21
13/07/2017;55395;20,5;20,9
12/07/2017;55924;20,5;20,9
11/07/2017;54980;19,9;20,9
10/07/2017;54838;19,9;20,7
09/07/2017;46979;22,4;20,7
08/07/2017;50225;24,1;20,6
07/07/2017;57466;25,4;20,6
06/07/2017;56685;24,7;20,6
05/07/2017;56472;24,1;20,5
04/07/2017;55445;21,4;20,4
03/07/2017;53828;19,4;20,3
02/07/2017;46021;17,3;20,3
01/07/2017;47849;16,2;20,2
30/06/2017;53567;16;20,1
29/06/2017;53764;16,8;20,1
28/06/2017;54813;18,6;20
27/06/2017;56147;21,1;19,9
26/06/2017;55498;21,6;19,8
25/06/2017;47499;21,7;19,8
24/06/2017;49321;21,4;19,7
23/06/2017;56807;21,8;19,6
22/06/2017;59504;25,5;19,5
21/06/2017;59312;26,8;19,4
20/06/2017;58326;26,5;19,3
19/06/2017;56987;25,8;19,2
18/06/2017;48397;23,9;19,2
17/06/2017;48740;21,7;19,1
16/06/2017;55367;20,3;18,9
15/06/2017;56794;22,6;18,9
14/06/2017;56165;22,8;18,8
13/06/2017;55210;20,4;18,6
12/06/2017;54125;19,9;18,6
11/06/2017;46539;22,2;18,5
10/06/2017;47844;20,9;18,4
09/06/2017;53808;18,8;18,3
08/06/2017;53653;19;18,2
07/06/2017;53364;15,4;18,1
06/06/2017;53286;15,4;18
05/06/2017;45765;17,3;17,9
04/06/2017;44658;16,1;17,8
03/06/2017;47658;17,7;17,7
02/06/2017;54733;20,9;17,6
01/06/2017;54577;20,7;17,5
31/05/2017;54407;19,2;17,4
30/05/2017;54416;19,3;17,3
29/05/2017;54147;21,7;17,2
28/05/2017;46165;22,9;17,1
27/05/2017;46620;22,5;16,9
26/05/2017;49810;22,1;16,9
25/05/2017;46361;21,2;16,8
24/05/2017;53881;19,5;16,6
23/05/2017;53479;18,4;16,5
22/05/2017;53305;18,4;16,4
21/05/2017;45774;15,7;16,3
20/05/2017;48772;13;16,2
19/05/2017;54673;12,2;16,1
18/05/2017;54382;15,8;16,1
17/05/2017;54123;20,1;15,9
16/05/2017;53793;20,4;15,7
15/05/2017;53849;17,8;15,7
14/05/2017;46806;15,9;15,6
13/05/2017;49175;15,2;15,4
12/05/2017;55414;15,4;15,3
11/05/2017;56644;14,8;15,2
10/05/2017;56460;14,2;15,1
09/05/2017;57994;12,5;15
08/05/2017;51257;11,8;14,9
07/05/2017;50054;12,8;14,7
06/05/2017;53314;13;14,6
05/05/2017;58907;13,4;14,5
04/05/2017;60424;11,6;14,4
03/05/2017;60963;10,8;14,2
02/05/2017;60363;11;14,1
01/05/2017;52138;10,2;14
30/04/2017;52357;11,5;13,8
29/04/2017;56580;10,7;13,7
28/04/2017;65440;8,4;13,6
27/04/2017;65345;6,8;13,4
26/04/2017;63312;6,9;13,3
25/04/2017;59650;9,6;13,2
24/04/2017;57666;12,3;13,1
23/04/2017;50893;11,8;12,9
22/04/2017;52648;12;12,8
21/04/2017;62945;10,4;12,7
20/04/2017;64204;7,8;12,6
19/04/2017;62027;7,8;12,4
18/04/2017;59739;9,4;12,3
17/04/2017;51475;11,1;12,1
16/04/2017;49847;11,6;12
15/04/2017;51506;12;11,9
14/04/2017;56016;12,8;11,7
13/04/2017;56843;12,6;11,6
12/04/2017;56798;12,2;11,4
11/04/2017;56197;11,9;11,3
10/04/2017;54558;13,8;11,3
09/04/2017;47212;15,8;11,1
08/04/2017;50555;14;10,9
07/04/2017;61123;11,4;10,8
06/04/2017;60605;10,6;10,7
05/04/2017;59103;11,7;10,6
04/04/2017;58482;12,5;10,5
03/04/2017;59646;12,5;10,3
02/04/2017;51544;11;10,2
01/04/2017;52834;11;10,1
31/03/2017;55949;14;10
30/03/2017;58263;15,3;9,9
29/03/2017;60098;13,6;9,7
28/03/2017;60847;12,5;9,7
27/03/2017;61828;12,2;9,6
26/03/2017;54720;11;9,4
25/03/2017;57300;11;9,3
24/03/2017;67250;9,2;9,2
23/03/2017;67392;8,7;9,1
22/03/2017;67046;8;9,1
21/03/2017;65653;9,7;8,9
20/03/2017;64435;11,5;8,8
19/03/2017;55528;11,9;8,7
18/03/2017;57855;10,6;8,6
17/03/2017;61516;10,6;8,5
16/03/2017;64073;11,7;8,4
15/03/2017;63972;10,9;8,3
14/03/2017;65659;10;8,3
13/03/2017;64688;10,6;8,2
12/03/2017;57279;10,6;8
11/03/2017;56734;11,2;8
10/03/2017;65922;11,1;8
09/03/2017;67159;12;7,9
