Date;Capacite effacement min (MW);Capacite effacement moy (MW);Capacite effacement max (MW);Pmax effacee (MW)
31/12/2016;666.0;666.0;666.0;0.0
30/12/2016;690.0;831.5;1039.0;0.0
29/12/2016;690.0;1371.75;2054.0;17.0
28/12/2016;690.0;700.0;705.0;0.0
27/12/2016;690.0;700.0;705.0;0.0
26/12/2016;695.0;705.0;710.0;11.0
25/12/2016;685.0;685.0;685.0;0.0
24/12/2016;685.0;685.0;685.0;0.0
23/12/2016;709.0;719.0;724.0;0.0
22/12/2016;716.0;726.0;731.0;11.0
21/12/2016;716.0;725.375;731.0;3.0
20/12/2016;716.0;891.0;1134.0;0.0
19/12/2016;689.0;831.625;1041.0;19.0
18/12/2016;591.0;591.0;591.0;0.0
17/12/2016;601.0;601.0;601.0;0.0
16/12/2016;672.0;682.0;687.0;19.0
15/12/2016;665.0;738.125;870.0;0.0
14/12/2016;665.0;1311.66666667;1939.0;0.0
13/12/2016;665.0;1306.29166667;1939.0;0.0
12/12/2016;667.0;1058.04166667;1412.0;0.0
11/12/2016;644.0;644.0;644.0;0.0
10/12/2016;644.0;644.0;644.0;2.0
09/12/2016;653.0;663.0;668.0;0.0
08/12/2016;653.0;663.375;670.0;0.0
07/12/2016;641.0;1214.54166667;1752.0;0.0
06/12/2016;641.0;998.625;1424.0;0.0
05/12/2016;651.0;661.0;666.0;26.0
04/12/2016;619.0;619.0;619.0;0.0
03/12/2016;619.0;619.0;619.0;0.0
02/12/2016;697.0;704.333333333;708.0;43.0
01/12/2016;699.0;1236.875;1829.0;257.0
30/11/2016;649.0;1328.08333333;2009.0;343.0
29/11/2016;641.0;721.166666667;849.0;0.0
28/11/2016;616.0;637.916666667;665.0;0.0
27/11/2016;614.0;614.0;614.0;0.0
26/11/2016;614.0;614.0;614.0;0.0
25/11/2016;678.0;685.333333333;689.0;0.0
24/11/2016;658.0;665.333333333;669.0;0.0
23/11/2016;655.0;748.708333333;890.0;23.0
22/11/2016;720.0;1367.20833333;2004.0;0.0
21/11/2016;655.0;662.333333333;666.0;0.0
20/11/2016;568.0;568.0;568.0;0.0
19/11/2016;578.0;578.0;578.0;0.0
18/11/2016;640.0;647.333333333;651.0;13.0
17/11/2016;640.0;647.333333333;651.0;17.0
16/11/2016;643.0;650.333333333;654.0;12.0
