Annee;VAB Hydraulique (MWh);VAB Nucleaire (MWh);VAB Thermique (MWh);VAB Consommation (MWh);VAB Ech GRT Acteur (MWh);VAB Ech GRT-GRT (MWh);VAH Hydraulique (MWh);VAH Nucleaire (MWh);VAH Thermique (MWh);VAH Effacement (MWh);VAH Ech GRT-Acteur (MWh);VAH Ech GRT-GRT (MWh);Cout moyen baisse (€/MWh);Cout moyen hausse (€/MWh);Nb_situations_tendues_B en 1/2j;Nb_situations_tendues_H en 1/2j
2016;-2371689.0;-1014491.0;-666915.5;0.0;-714923.5;-44251.0;1233371.5;109706.0;287751.0;16031.5;1008075.5;158845.5;-25.2271;53.2233;3.0;40.0
2015;-2329962.5;-1133879.5;-540073.0;0.0;-332110.0;-2550.0;1206642.0;363150.0;263232.5;14659.0;898596.0;95318.0;-28.1134;56.5935;1.0;13.0
2014;-2648629.0;-1529809.0;-526297.5;0.0;-379690.0;-3569.0;975225.5;208219.5;300462.0;12206.5;841062.0;22682.0;-24.0636;55.1309;2.0;12.0
2013;-2641890.5;-1092673.0;-640107.5;0.0;-139783.0;-13974.5;1116000.5;333116.0;909581.0;20118.0;986449.0;27862.5;-31.6085;71.6268;8.0;19.0
2012;-2892881.5;-1021658.5;-560348.0;0.0;-202836.0;-26305.5;1325402.0;371058.5;829406.0;11275.0;760716.0;11730.5;-34.4371;74.0837;2.0;14.0
2011;-1992770.5;-1188671.5;-510790.0;0.0;-181420.0;-62861.0;1685708.0;149203.5;519059.5;4354.0;1076589.0;59510.0;-28.2486;75.1696;7.0;9.0
2010;-2110370.5;-794286.0;-438830.5;0.0;-234711.0;-172187.0;2085224.0;223915.5;1572051.5;2833.0;1142159.5;93287.0;-29.3459;88.0019;5.0;47.0
2009;-2246806.0;-981331.0;-504678.5;-820.5;-187356.0;-215553.5;2006494.0;133151.0;1111802.0;5150.0;713267.0;37587.5;-23.3909;94.2534;41.0;27.0
2008;-1846450.0;-969944.5;-729616.5;0.0;-499169.0;-1787.5;1514768.0;171688.0;865783.0;697.5;380398.0;2588.0;-41.1169;114.5725;16.0;39.0
2007;-1928386.0;-1180602.5;-550114.0;0.0;-237161.0;0.0;1489970.0;257264.5;442441.5;472.0;541241.0;2962.5;-23.2513;77.2975;1.0;25.0
2006;-2025334.0;-1088102.5;-514303.0;0.0;-345705.0;0.0;1943547.5;448856.0;681858.5;1010.0;843971.0;12194.5;-28.5164;84.3156;;
2005;-2853178.5;-1697263.5;-960708.5;-140.0;-597121.0;0.0;1484296.0;291962.0;991251.0;2295.5;752416.0;0.0;-24.2676;80.2156;;
2004;-3637165.0;-2288008.0;-1305852.5;0.0;-394554.0;0.0;1735488.5;277770.0;851300.5;4167.0;1272648.0;0.0;-14.8927;55.7174;;
