Date	Heures	Type de réserve	Sens de l'ajustement	Quantité de la réserve (en MW)	Prix des offres activées (en euros/MWh)
18/06/2014	00:00 - 00:30	Réserve rapide	A la hausse	0	*
18/06/2014	00:00 - 00:30	Réserve rapide	A la baisse	32	*
18/06/2014	00:00 - 00:30	Réserve complémentaire	A la hausse	0	*
18/06/2014	00:00 - 00:30	Réserve complémentaire	A la baisse	0	*
18/06/2014	00:30 - 01:00	Réserve rapide	A la hausse	106	*
18/06/2014	00:30 - 01:00	Réserve rapide	A la baisse	0	*
18/06/2014	00:30 - 01:00	Réserve complémentaire	A la hausse	0	*
18/06/2014	00:30 - 01:00	Réserve complémentaire	A la baisse	0	*
18/06/2014	01:00 - 01:30	Réserve rapide	A la hausse	0	*
18/06/2014	01:00 - 01:30	Réserve rapide	A la baisse	0	*
18/06/2014	01:00 - 01:30	Réserve complémentaire	A la hausse	0	*
18/06/2014	01:00 - 01:30	Réserve complémentaire	A la baisse	0	*
18/06/2014	01:30 - 02:00	Réserve rapide	A la hausse	0	*
18/06/2014	01:30 - 02:00	Réserve rapide	A la baisse	34	*
18/06/2014	01:30 - 02:00	Réserve complémentaire	A la hausse	0	*
18/06/2014	01:30 - 02:00	Réserve complémentaire	A la baisse	0	*
18/06/2014	02:00 - 02:30	Réserve rapide	A la hausse	0	*
18/06/2014	02:00 - 02:30	Réserve rapide	A la baisse	0	*
18/06/2014	02:00 - 02:30	Réserve complémentaire	A la hausse	0	*
18/06/2014	02:00 - 02:30	Réserve complémentaire	A la baisse	0	*
18/06/2014	02:30 - 03:00	Réserve rapide	A la hausse	0	*
18/06/2014	02:30 - 03:00	Réserve rapide	A la baisse	0	*
18/06/2014	02:30 - 03:00	Réserve complémentaire	A la hausse	0	*
18/06/2014	02:30 - 03:00	Réserve complémentaire	A la baisse	0	*
18/06/2014	03:00 - 03:30	Réserve rapide	A la hausse	0	*
18/06/2014	03:00 - 03:30	Réserve rapide	A la baisse	92	*
18/06/2014	03:00 - 03:30	Réserve complémentaire	A la hausse	0	*
18/06/2014	03:00 - 03:30	Réserve complémentaire	A la baisse	0	*
18/06/2014	03:30 - 04:00	Réserve rapide	A la hausse	0	*
18/06/2014	03:30 - 04:00	Réserve rapide	A la baisse	92	*
18/06/2014	03:30 - 04:00	Réserve complémentaire	A la hausse	0	*
18/06/2014	03:30 - 04:00	Réserve complémentaire	A la baisse	0	*
18/06/2014	04:00 - 04:30	Réserve rapide	A la hausse	0	*
18/06/2014	04:00 - 04:30	Réserve rapide	A la baisse	92	*
18/06/2014	04:00 - 04:30	Réserve complémentaire	A la hausse	0	*
18/06/2014	04:00 - 04:30	Réserve complémentaire	A la baisse	0	*
18/06/2014	04:30 - 05:00	Réserve rapide	A la hausse	0	*
18/06/2014	04:30 - 05:00	Réserve rapide	A la baisse	92	*
18/06/2014	04:30 - 05:00	Réserve complémentaire	A la hausse	0	*
18/06/2014	04:30 - 05:00	Réserve complémentaire	A la baisse	0	*
18/06/2014	05:00 - 05:30	Réserve rapide	A la hausse	0	*
18/06/2014	05:00 - 05:30	Réserve rapide	A la baisse	92	*
18/06/2014	05:00 - 05:30	Réserve complémentaire	A la hausse	0	*
18/06/2014	05:00 - 05:30	Réserve complémentaire	A la baisse	0	*
18/06/2014	05:30 - 06:00	Réserve rapide	A la hausse	0	*
18/06/2014	05:30 - 06:00	Réserve rapide	A la baisse	399	*
18/06/2014	05:30 - 06:00	Réserve complémentaire	A la hausse	0	*
18/06/2014	05:30 - 06:00	Réserve complémentaire	A la baisse	0	*
18/06/2014	06:00 - 06:30	Réserve rapide	A la hausse	0	*
18/06/2014	06:00 - 06:30	Réserve rapide	A la baisse	51	*
18/06/2014	06:00 - 06:30	Réserve complémentaire	A la hausse	0	*
18/06/2014	06:00 - 06:30	Réserve complémentaire	A la baisse	0	*
18/06/2014	06:30 - 07:00	Réserve rapide	A la hausse	0	*
18/06/2014	06:30 - 07:00	Réserve rapide	A la baisse	85	*
18/06/2014	06:30 - 07:00	Réserve complémentaire	A la hausse	0	*
18/06/2014	06:30 - 07:00	Réserve complémentaire	A la baisse	0	*
18/06/2014	07:00 - 07:30	Réserve rapide	A la hausse	0	*
18/06/2014	07:00 - 07:30	Réserve rapide	A la baisse	164	*
18/06/2014	07:00 - 07:30	Réserve complémentaire	A la hausse	0	*
18/06/2014	07:00 - 07:30	Réserve complémentaire	A la baisse	0	*
18/06/2014	07:30 - 08:00	Réserve rapide	A la hausse	0	*
18/06/2014	07:30 - 08:00	Réserve rapide	A la baisse	333	*
18/06/2014	07:30 - 08:00	Réserve complémentaire	A la hausse	0	*
18/06/2014	07:30 - 08:00	Réserve complémentaire	A la baisse	0	*
18/06/2014	08:00 - 08:30	Réserve rapide	A la hausse	0	*
18/06/2014	08:00 - 08:30	Réserve rapide	A la baisse	95	*
18/06/2014	08:00 - 08:30	Réserve complémentaire	A la hausse	0	*
18/06/2014	08:00 - 08:30	Réserve complémentaire	A la baisse	0	*
18/06/2014	08:30 - 09:00	Réserve rapide	A la hausse	0	*
18/06/2014	08:30 - 09:00	Réserve rapide	A la baisse	202	*
18/06/2014	08:30 - 09:00	Réserve complémentaire	A la hausse	0	*
18/06/2014	08:30 - 09:00	Réserve complémentaire	A la baisse	0	*
